vehicle_id,travel_time_seconds,travel_time_minutes,path_length
1,268.15793474942933,4.469298912490489,60
2,256.5263685555533,4.2754394759258885,43
3,104.34266930012373,1.7390444883353955,25
4,259.63886195503136,4.327314365917189,37
5,90.47916645628048,1.5079861076046748,14
6,88.88656839924957,1.4814428066541594,13
7,104.95552355571367,1.7492587259285612,24
8,236.68747364197907,3.9447912273663177,36
9,340.2579403374964,5.670965672291606,57
10,465.45638540821386,7.757606423470231,68
11,298.99964054438374,4.983327342406396,51
12,212.62409474873868,3.543734912478978,20
13,147.64341727749124,2.4607236212915207,35
14,137.49110167824452,2.2915183613040755,22
15,98.36010249500305,1.639335041583384,21
16,348.90326904932994,5.815054484155499,62
17,201.45844330342868,3.3576407217238113,35
18,220.33522975453872,3.672253829242312,30
19,203.89233531826116,3.398205588637686,38
20,221.98995065682598,3.6998325109470995,45
21,171.16727217580413,2.8527878695967357,38
22,496.5128049214457,8.27521341535743,75
23,165.7216525507659,2.7620275425127647,29
24,183.00020569430305,3.050003428238384,22
25,72.68868959149914,1.211478159858319,12
26,185.9743414006456,3.099572356677427,25
27,162.2427979380341,2.7040466323005683,23
28,105.73932004359406,1.7623220007265676,10
29,211.7704289327839,3.5295071488797314,46
30,113.66342836537683,1.8943904727562806,17
31,277.44276771227743,4.624046128537957,40
32,250.28238718970798,4.171373119828466,46
33,167.12674518260812,2.7854457530434686,37
34,156.28120340126935,2.6046867233544893,32
35,100.723356721731,1.6787226120288499,13
36,166.04840094297052,2.7674733490495087,30
37,364.2342263910221,6.070570439850369,66
38,287.06429225980895,4.784404870996815,59
39,297.8883608810634,4.96480601468439,49
40,306.2287081081992,5.10381180180332,48
41,529.962640711634,8.832710678527233,74
42,34.224879912233,0.5704146652038833,10
43,454.72118412763956,7.578686402127326,63
44,200.35056553699022,3.33917609228317,29
45,7.725108595658708,0.12875180992764512,3
46,83.05569184891566,1.384261530815261,19
47,239.05142625186164,3.9841904375310273,41
48,290.15141622553085,4.8358569370921805,49
49,469.27452478473043,7.821242079745507,60
50,325.58408965740557,5.426401494290093,50
51,133.59273033494236,2.2265455055823726,27
52,121.04477419069009,2.017412903178168,28
53,136.7820953148846,2.27970158858141,19
54,169.30429594838608,2.821738265806435,45
55,185.67159666453517,3.0945266110755862,39
56,189.7434640731383,3.1623910678856384,24
57,198.56904846677318,3.3094841411128866,36
58,108.01143276962459,1.8001905461604097,15
59,307.98286828573976,5.133047804762329,49
60,48.72143777667551,0.8120239629445918,10
61,264.81121295503027,4.413520215917171,57
62,182.74270303559211,3.0457117172598687,43
63,101.12181459144023,1.6853635765240038,17
64,202.7496496197286,3.3791608269954763,21
65,127.73784136975112,2.1289640228291855,28
66,345.7750878973916,5.762918131623193,58
67,154.68678917624197,2.5781131529373664,23
68,116.22612477039551,1.9371020795065919,23
69,253.0884297218471,4.218140495364119,56
70,315.1445345271802,5.252408908786337,56
71,520.6107369601249,8.676845616002081,60
72,173.8739500808767,2.897899168014612,19
73,24.759553558238782,0.41265922597064636,7
74,274.5739027455832,4.576231712426387,40
75,300.94080235185186,5.015680039197531,46
76,167.78533226482014,2.796422204413669,17
77,144.89044548871033,2.4148407581451723,26
78,315.0460740452228,5.250767900753713,46
79,169.81948214830499,2.8303247024717497,33
80,199.37679481364165,3.322946580227361,26
81,183.7891796650524,3.06315299441754,27
82,135.0680053638125,2.251133422730208,27
83,103.35184115968372,1.7225306859947287,17
84,306.7979528714835,5.113299214524726,48
85,197.205888914645,3.286764815244083,43
86,311.9586308759587,5.199310514599312,54
87,293.8482298925232,4.89747049820872,53
88,286.8146467870026,4.7802441131167095,45
89,196.59412818621308,3.2765688031035514,28
90,516.6456906904207,8.610761511507011,67
91,197.97841055793452,3.2996401759655756,34
92,58.407033409012506,0.9734505568168751,12
93,312.9078684279435,5.215131140465726,45
